post_id,vader_label,post_vader_score,avg_comment_vader_score
jxzf0g,negative,-1,0.33333333333333337
l89jgz,positive,1,0.6000000000000001
jz3duh,positive,1,0.8
jf7ch9,negative,-1,0.6000000000000001
js2kie,negative,-1,0.0
gs9ut9,positive,1,0.75
jf4mc2,positive,1,0.7272727272727273
jrxf6w,positive,1,0.4444444444444444
hwh9sx,neutral,0,0.0
9523jb,negative,-1,-0.6666666666666666
1otjlj0,negative,-1,0.16533333333333333
1p3jmja,negative,-1,-0.06008230452674901
1m6ds2e,positive,1,0.33233082706766914
1mpvxha,positive,1,0.20343137254901955
1oxorha,negative,-1,0.07290015847860537
1o69fa1,positive,1,0.46929824561403505
1nkfmzk,positive,1,0.21938775510204084
1orz72t,negative,-1,0.08070175438596489
1p2ktaa,negative,-1,0.045871559633027525
1oofhjp,positive,1,0.11895910780669144
1kdtery,negative,-1,0.29508196721311475
1nost3n,negative,-1,-0.19553571428571426
1nvrszz,neutral,0,0.35947712418300654
1oa5ll3,negative,-1,-0.1388888888888889
1npfq7h,neutral,0,-0.11205432937181664
1i86l22,neutral,0,0.1633165829145729
1okixnh,positive,1,0.10726643598615915
1k2xzz9,neutral,0,0.11627906976744184
1n07p71,negative,-1,0.08480565371024734
1mhpgjk,neutral,0,0.4504950495049505
1n5d312,negative,-1,-0.1633986928104575
1og34b9,negative,-1,0.3783783783783783
1ff6tqk,positive,1,0.05555555555555558
1dqeqhk,positive,1,0.4693295292439373
1mbt7y1,positive,1,0.03168316831683171
1hx5nk4,positive,1,-0.018126888217522674
1otsy61,negative,-1,-0.10837438423645318
1naw547,negative,-1,0.16874999999999996
1noyzth,negative,-1,-0.023529411764705854
1p18973,positive,1,0.48571428571428565
1i9sm4z,positive,1,0.2912423625254583
1oxtwzu,negative,-1,0.02380952380952378
1n2wx4a,negative,-1,0.2215743440233236
1od27vt,negative,-1,0.3897058823529412
1fahtjz,neutral,0,0.09353507565337005
1ebg59k,positive,1,0.06835443037974687
1o0q4ma,positive,1,0.152317880794702
1nar27j,negative,-1,0.2165775401069519
1ouhfpe,negative,-1,0.1285140562248996
1m48iqy,positive,1,0.04225352112676056
1ntw2t4,negative,-1,0.05592105263157893
1hk11lb,negative,-1,0.16455696202531644
1nq79m6,positive,1,0.27053140096618356
1n2tp1e,neutral,0,0.14367816091954028
1ke5s3e,positive,1,0.3115577889447236
1nfzk5e,neutral,0,0.3295454545454545
1ofnu3j,positive,1,0.3033419023136247
1lksd3t,neutral,0,0.4415204678362573
1eifxtx,positive,1,0.020270270270270285
1ngox8y,neutral,0,0.06382978723404253
1ixv5w4,negative,-1,0.3722627737226278
1ojwuh0,positive,1,0.09578544061302685
1p4gji1,negative,-1,-0.08864265927977844
1ji39y7,negative,-1,-0.054421768707483
1fva6u5,negative,-1,0.06574394463667821
1k8f2eb,positive,1,0.36094674556213024
1l27yvj,negative,-1,0.2337078651685393
1o4qqol,positive,1,0.30927835051546393
1oq9iit,positive,1,-0.054131054131054124
1l42cio,neutral,0,0.5038167938931298
1ng8rpr,neutral,0,0.21052631578947367
1o5b8vd,negative,-1,0.07222222222222224
1m8yhoc,positive,1,0.08849557522123891
1p3hdlp,positive,1,0.33918128654970764
1lvqkgs,negative,-1,0.11688311688311687
1kmcnv7,positive,1,0.34693877551020413
1m3a27a,positive,1,0.11210762331838564
1mgqrlz,negative,-1,0.0641025641025641
1h4qa1l,negative,-1,0.2364864864864865
1l55juo,positive,1,0.01807228915662651
1oe4cmi,negative,-1,0.3168316831683168
1lgu9vt,positive,1,0.17142857142857143
1hr5re9,positive,1,0.23776223776223773
1lu50rv,positive,1,-0.005076142131979655
1o1hwzr,positive,1,0.38818565400843885
1hnta5s,positive,1,0.03864734299516909
1md656u,negative,-1,0.12992125984251968
1kgdccq,positive,1,0.30945558739255014
1ivnxgf,negative,-1,0.12184873949579828
1lb7o0x,positive,1,0.29618768328445755
1dglbjo,positive,1,0.22916666666666674
1jmnl4p,negative,-1,0.07547169811320753
1nu0iai,positive,1,0.5
1o3s0xo,positive,1,0.22400000000000003
1l3y7xq,positive,1,0.28691983122362874
1lludb6,positive,1,0.03428571428571425
1kvmntc,negative,-1,-0.10408921933085502
1oopkfk,neutral,0,0.35177865612648224
1dsji10,positive,1,0.20075757575757575
1o3h8q8,positive,1,0.163265306122449
1epzrnq,positive,1,0.16187050359712235
1m33478,positive,1,0.19130434782608696
1l4wvmo,positive,1,0.04363636363636364
1o2h3hm,neutral,0,0.4212962962962963
1nvn080,neutral,0,0.23966942148760334
1d96r1b,positive,1,0.24586776859504134
1ey9itp,positive,1,0.8021978021978021
1jp1zqs,negative,-1,0.07246376811594202
1j9fkll,negative,-1,0.08991825613079019
1mibjwm,neutral,0,0.31404958677685946
1g9yl5q,neutral,0,-0.06439393939393939
1p0v8bw,positive,1,0.3544973544973545
1onv167,positive,1,0.2482758620689655
1irpqgd,positive,1,0.16265060240963858
1o3oefh,neutral,0,0.3219512195121951
1odmgfu,positive,1,0.6222222222222222
1kbtspd,neutral,0,0.0958904109589041
1hht1s0,positive,1,0.6545454545454545
1kc1s9f,negative,-1,0.32679738562091504
1iq3y49,positive,1,0.2867830423940149
1izml1n,positive,1,0.15019762845849804
1kpvz1j,positive,1,0.3790849673202614
1owkewa,positive,1,0.1686746987951807
1o5hdwb,positive,1,0.08808290155440418
1ms8r2i,negative,-1,0.08059701492537313
1j6qviz,positive,1,0.40875912408759124
1mio0tx,negative,-1,0.21951219512195125
1gia08y,positive,1,-0.10429447852760737
1oly3xf,positive,1,0.09777777777777774
1dlf5b4,negative,-1,-0.0038167938931297773
1o7vf5d,positive,1,0.13513513513513511
1how4pv,negative,-1,0.28666666666666674
1ih3t5s,negative,-1,0.0
1c1kvy8,neutral,0,0.13295880149812733
1g1k4qt,negative,-1,0.2524752475247525
1n8n3e5,negative,-1,0.19266055045871555
1ojdj13,positive,1,0.2392638036809816
1jwwj77,positive,1,0.07602339181286549
1jo6tpn,positive,1,0.37419354838709684
1grvz2k,negative,-1,0.11462450592885376
1jdrulk,negative,-1,0.2587859424920128
19660ow,neutral,0,0.43063583815028894
1nmqoph,neutral,0,-0.010676156583629914
1e8yepx,positive,1,-0.09652509652509655
1iv8a44,neutral,0,0.6837606837606838
1k22xu9,negative,-1,0.3160919540229885
1kxlb0u,positive,1,0.3712121212121212
1lzt2h6,positive,1,0.725
1nn3a4q,neutral,0,0.24404761904761907
1oq28kp,negative,-1,0.3175675675675676
1ixj4wv,negative,-1,-0.021428571428571408
1oxf3wv,negative,-1,0.39597315436241615
1m4bz1r,positive,1,0.4183673469387755
1nqj2kf,positive,1,0.4767441860465116
1nbnk26,neutral,0,0.35555555555555557
1n37nio,positive,1,0.12631578947368421
1ob3c4e,neutral,0,0.20105820105820105
1m6rtbq,positive,1,0.1782178217821782
1kzecwu,positive,1,0.06369426751592361
1ope5g2,negative,-1,0.10344827586206895
1kbgili,positive,1,0.26246719160104987
1coofjn,positive,1,0.23776223776223782
1itzo1c,positive,1,0.06443914081145585
1mrypnb,positive,1,0.2545454545454545
1hmqubh,positive,1,0.17991631799163182
1elxdys,positive,1,0.4449152542372881
1moi6nh,neutral,0,0.42105263157894735
1l6d9vx,positive,1,0.4
1ln5lx8,neutral,0,0.3469387755102041
1kd4iww,positive,1,0.3190184049079754
1mm3yli,positive,1,0.5
1obz21h,negative,-1,0.029527559055118113
1j2tg4v,positive,1,0.22857142857142854
1ohz5em,positive,1,0.2792792792792793
1bms3d0,positive,1,0.2894736842105263
1cd3tjm,negative,-1,0.2803347280334728
1fzzgzo,neutral,0,0.1740740740740741
1hw9vh2,positive,1,0.20634920634920634
1oup4d9,positive,1,-0.06944444444444448
1jr2g95,negative,-1,0.027522935779816515
1gdbitd,neutral,0,0.40540540540540543
1evkckl,neutral,0,0.25252525252525254
1mzw837,negative,-1,0.33544303797468356
1ogk7pq,positive,1,0.18604651162790703
1nyejar,negative,-1,0.3295454545454546
1lzhmtg,positive,1,0.10280373831775697
1m7r5jm,neutral,0,0.45714285714285713
1akcoq2,positive,1,0.4046692607003891
1jmb8az,negative,-1,-0.16349809885931554
1jrora1,negative,-1,0.17592592592592593
1g8ay2y,positive,1,0.29081632653061223
1ciy5nc,positive,1,0.07643312101910826
